,0,1,2
781,Rs,"2,486",
782,Rs,"212,899",
783,Rs,"48,500",
784,Rs,"37,899",
785,8%,OFFRs,"20,600"
786,Rs,"44,299",
787,1%,OFFRs,"27,000"
788,9%,OFFRs,"21,200"
789,Rs,"39,899",
790,Rs,"70,999",
791,Rs,"2,498",
792,Rs,"93,999",
793,Rs,"14,199",
794,4%,OFFRs,"20,200"
795,Rs,"16,199",
796,Rs,"25,500",
797,Rs,"179,999",
798,Rs,"133,499",
799,Rs,"16,199",
800,Rs,"7,672",
801,Rs,"162,999",
802,Rs,"30,899",
803,Rs,"2,098",
804,Rs,"38,999",
805,7%,OFFRs,"33,600"
806,Rs,"53,279",
807,Rs,"99,999",
808,Rs,"13,949",
809,Rs,"44,999",
810,Rs,"2,599",
811,Rs,"19,333",
812,Rs,"23,999",
813,Rs,"9,833",
814,Rs,"2,549",
815,Rs,"29,499",
816,Rs,"178,698",
817,Rs,"13,088",
818,Rs,"31,390",
819,Rs,"25,500",
820,Rs,"31,890",
821,9%,OFFRs,"22,999"
822,Rs,"2,749",
823,Rs,"2,599",
824,Rs,"44,799",
825,Rs,"18,999",
826,Rs,"27,099",
827,Rs,"92,699",
828,0%,OFFRs,"210,000"
829,Rs,"36,333",
830,6%,OFFRs,"190,000"
831,Rs,"2,850",
832,11%,OFFRs,"28,000"
833,Rs,"38,449",
834,Rs,"2,599",
835,Rs,"3,800",
836,12%,OFFRs,"105,000"
837,Rs,"19,799",
838,Rs,"19,299",
839,4%,OFFRs,"20,200"
840,Rs,"2,499",
841,Rs,"37,999",
842,Rs,"31,199",
843,Rs,"179,999",
844,9%,OFFRs,"22,999"
845,Rs,"19,300",
846,Rs,"7,672",
847,Rs,"2,274",
848,Rs,"44,799",
849,Rs,"147,999",
850,Rs,"16,699",
851,Rs,"59,999",
852,Rs,"204,999",
853,Rs,"109,999",
854,Rs,"37,999",
855,Rs,"46,999",
856,4%,OFFRs,"57,500"
857,Rs,"15,449",
858,Rs,"162,499",
859,Rs,"23,999",
860,Rs,"15,999",
861,Rs,"2,249",
862,Rs,"23,190",
863,Rs,"138,999",
864,Rs,"214,799",
865,Rs,"214,799",
866,Rs,"189,999",
867,Rs,"133,499",
868,Rs,"2,749",
869,Rs,"7,672",
870,Rs,"160,999",
871,Rs,"22,799",
872,Rs,"201,799",
873,Rs,"159,799",
874,Rs,"76,999",
875,Rs.,"13,066",
876,Rs.,"57,999",
877,Rs.,"4,099",
878,Rs.,"11,499",
879,Rs.,"11,844",
880,Rs.,"41,999",
881,Rs.,"21,838",
882,Rs.,"45,999",
883,Rs.,"25,999",
884,Rs.,"9,117",
885,Rs.,"8,178",
886,Rs.,"6,439",
887,Rs.,"17,230",
888,Rs.,"31,999",
889,Rs.,"31,999",
890,Rs.,"6,400",
891,Rs.,"39,999",
892,Rs.,"4,950",
893,Rs.,"23,420",
894,Rs.,"19,400",
895,Rs.,"9,588",
896,Rs.,"32,650",
897,Rs.,"16,998",
898,Rs.,"23,600",
