,Name,Price,Vendor,VendorLink
483,LENOVO THINKBOOK-15. BLACK 10TH CI5-1.0 4GB 1TB 15.6'' 2GB AMD 630 DOS+1YR INT,"Rs. 119,999",Daraz,https://www.daraz.pk/products/lenovo-thinkbook-15-black-10th-ci5-10-4gb-1tb-156-2gb-amd-630-dos1yr-int-i210821000-s1417944190.html?search=1
484,"HP 15-DY1076NR/DY1045NR Laptop - 10th Gen Ci5, 8GB, 256GB SSD, 15.6"" HD, Windows 10","Rs. 102,500",Daraz,https://www.daraz.pk/products/hp-15-dy1076nrdy1045nr-laptop-10th-gen-ci5-8gb-256gb-ssd-156-hd-windows-10-i208604849-s1414086666.html?search=1
485,"HP 15S-DU2039TX 10th Gen Core i5, 4GB, 1TB HDD, MX130 2GB, 15.6"" FHD IPS, DOS","Rs. 102,000",Daraz,https://www.daraz.pk/products/hp-15s-du2039tx-10th-gen-core-i5-4gb-1tb-hdd-mx130-2gb-156-fhd-ips-dos-i188044729-s1376764012.html?search=1
486,DELL LATITUDE E6400 14.1 Display - Intel® Core™ 2 Duo 2GB RAM - 160GB HDD - Windows® 7 Activated,"Rs. 17,000",Daraz,https://www.daraz.pk/products/dell-latitude-e6400-141-display-intel-core-2-duo-2gb-ram-160gb-hdd-windows-7-activated-i145172763-s1307134403.html?search=1
487,"Lenovo Idea Pad S145 10 th Gen Ci5-1035G1-4GB, 1TB, 15.6 LED,1X1AC+BT ,2CELL, DOS, ,GREY","Rs. 90,999",Daraz,https://www.daraz.pk/products/lenovo-idea-pad-s145-10-th-gen-ci5-1035g1-4gb-1tb-156-led1x1acbt-2cell-dos-grey-i138496938-s1298552907.html?search=1
488,Dell Latitude 6440 - Core i5 4th Generation - 4GB RAM - 500GB HDD - 14inch HD Screen - Free Laptop Baag,"Rs. 39,999",Daraz,https://www.daraz.pk/products/dell-latitude-6440-core-i5-4th-generation-4gb-ram-500gb-hdd-14inch-hd-screen-free-laptop-baag-i219537719-s1432123771.html?search=1
489,Dell Latitude 5480 - Core i5 6th Generation - 8GB RAM - 256GB SSD - 14inch HD Screen - Windows 10 Activated - Free laptop bag,"Rs. 57,999",Daraz,https://www.daraz.pk/products/dell-latitude-5480-core-i5-6th-generation-8gb-ram-256gb-ssd-14inch-hd-screen-windows-10-activated-free-laptop-bag-i219206964-s1431338120.html?search=1
490,"HP 15-Du2062TX i5-1035G1-4GB, 1TB, 15.6"" LED FHD,Nvidia MX130 2GB WINDOWS, Natural Silver","Rs. 107,000",Daraz,https://www.daraz.pk/products/hp-15-du2062tx-i5-1035g1-4gb-1tb-156-led-fhdnvidia-mx130-2gb-windows-natural-silver-i215925156-s1425492631.html?search=1
491,"HP 15t-DW300 - 11th Gen Intel Core i5, 8GB, 256GB SSD, 15.6"" HD, W10, Black","Rs. 109,500",Daraz,https://www.daraz.pk/products/hp-15t-dw300-11th-gen-intel-core-i5-8gb-256gb-ssd-156-hd-w10-black-i209504445-s1415848060.html?search=1
492,DELL VOSTRO 3500. BLACK 11th CI3-2.1 4GB 1TB 15.6'' DOS+1YR DST.,"Rs. 82,999",Daraz,https://www.daraz.pk/products/dell-vostro-3500-black-11th-ci3-21-4gb-1tb-156-dos1yr-dst-i212754798-s1420964396.html?search=1
